"(25, 0)","(25, 0)","(15, 1770)","(15, 1770)",1781,1780.0,0.0
"(85, 0)","(85, 0)","(85, 1770)","(85, 1770)",1801,1800.0,0.0
"(145, 0)","(145, 0)","(145, 1770)","(145, 1770)",1991,1990.0,4.635660332040118
"(205, 0)","(205, 0)","(205, 1770)","(205, 1770)",1917,1916.0,3.8000182482531515
"(222, 0)","(222, 0)","(222, 1770)","(222, 1770)",2031,2030.0,2.0088626292466767
"(289, 0)","(289, 0)","(289, 1770)","(289, 1770)",1891,1890.0,0.0
"(361, 0)","(361, 0)","(361, 1770)","(361, 1770)",1953,1952.0,1.858424523998276
"(410, 0)","(410, 0)","(410, 1770)","(410, 1770)",1805,1804.0,2.5566758230171396
"(492, 0)","(492, 0)","(492, 1770)","(492, 1770)",1835,1834.0,0.0
"(549, 0)","(549, 0)","(555, 1770)","(555, 1770)",1859,1858.0,9.790151777036199
"(609, 0)","(609, 0)","(616, 1770)","(616, 1770)",1814,1813.0,0.0
"(669, 0)","(669, 0)","(669, 1770)","(669, 1770)",1771,1770.0,0.0
"(729, 0)","(729, 0)","(729, 1770)","(729, 1770)",1783,1782.0,0.0
"(789, 0)","(789, 0)","(776, 1770)","(776, 1770)",1784,1783.0,0.0
"(849, 0)","(849, 0)","(837, 1770)","(837, 1770)",1783,1782.0,0.0
"(909, 0)","(909, 0)","(909, 1770)","(909, 1770)",1771,1770.0,0.0
"(969, 0)","(969, 0)","(969, 1770)","(969, 1770)",1771,1770.0,0.0
"(1029, 0)","(1029, 0)","(1029, 1770)","(1029, 1770)",1773,1772.0,0.0
"(1089, 0)","(1089, 0)","(1089, 1770)","(1089, 1770)",1771,1770.0,0.0
"(1149, 0)","(1149, 0)","(1149, 1770)","(1149, 1770)",1771,1770.0,0.0
"(1209, 0)","(1209, 0)","(1209, 1770)","(1209, 1770)",1771,1770.0,0.0
"(1269, 0)","(1269, 0)","(1269, 1770)","(1269, 1770)",1771,1770.0,0.0
"(1329, 0)","(1329, 0)","(1313, 1770)","(1313, 1770)",1787,1786.0,0.0
"(1389, 0)","(1389, 0)","(1389, 1770)","(1389, 1770)",1771,1770.0,0.0
"(1449, 0)","(1449, 0)","(1449, 1770)","(1449, 1770)",1771,1770.0,0.0
"(1509, 0)","(1509, 0)","(1516, 1770)","(1516, 1770)",1778,1777.0,0.0
"(1569, 0)","(1569, 0)","(1575, 1770)","(1575, 1770)",1777,1776.0,0.0
"(1629, 0)","(1629, 0)","(1629, 1770)","(1629, 1770)",1771,1770.0,0.0
"(1689, 0)","(1689, 0)","(1689, 1770)","(1689, 1770)",1771,1770.0,0.0
"(1749, 0)","(1749, 0)","(1749, 1770)","(1749, 1770)",1771,1770.0,0.0
"(1809, 0)","(1809, 0)","(1809, 1770)","(1809, 1770)",1797,1796.0,0.0
"(1869, 0)","(1869, 0)","(1869, 1770)","(1869, 1770)",1771,1770.0,0.0
"(1929, 0)","(1929, 0)","(1929, 1770)","(1929, 1770)",1771,1770.0,0.0
"(1989, 0)","(1989, 0)","(1989, 1770)","(1989, 1770)",1771,1770.0,0.0
"(2049, 0)","(2049, 0)","(2049, 1770)","(2049, 1770)",1771,1770.0,0.0
"(2109, 0)","(2109, 0)","(2109, 1770)","(2109, 1770)",1771,1770.0,0.0
"(2169, 0)","(2169, 0)","(2170, 1770)","(2170, 1770)",1772,1771.0,0.0
"(2229, 0)","(2229, 0)","(2229, 1770)","(2229, 1770)",1771,1770.0,0.0
"(2289, 0)","(2289, 0)","(2289, 1770)","(2289, 1770)",1771,1770.0,0.0
"(2349, 0)","(2349, 0)","(2349, 1770)","(2349, 1770)",1771,1770.0,0.0
"(2409, 0)","(2409, 0)","(2409, 1770)","(2409, 1770)",1771,1770.0,0.0
"(2448, 0)","(2448, 0)","(2448, 1770)","(2448, 1770)",1825,1824.0,2.382136948094777
"(25, 0)","(25, 0)","(15, 1770)","(15, 1770)",1781,1780.0,0.0
"(85, 0)","(85, 0)","(85, 1770)","(85, 1770)",1801,1800.0,0.0
"(145, 0)","(145, 0)","(145, 1770)","(145, 1770)",1991,1990.0,4.635660332040118
"(205, 0)","(205, 0)","(205, 1770)","(205, 1770)",1917,1916.0,3.8000182482531515
"(222, 0)","(222, 0)","(222, 1770)","(222, 1770)",2031,2030.0,2.0088626292466767
"(289, 0)","(289, 0)","(289, 1770)","(289, 1770)",1891,1890.0,0.0
"(361, 0)","(361, 0)","(361, 1770)","(361, 1770)",1953,1952.0,1.858424523998276
"(410, 0)","(410, 0)","(410, 1770)","(410, 1770)",1805,1804.0,2.5566758230171396
"(492, 0)","(492, 0)","(492, 1770)","(492, 1770)",1835,1834.0,0.0
"(549, 0)","(549, 0)","(555, 1770)","(555, 1770)",1859,1858.0,9.790151777036199
"(609, 0)","(609, 0)","(616, 1770)","(616, 1770)",1814,1813.0,0.0
"(669, 0)","(669, 0)","(669, 1770)","(669, 1770)",1771,1770.0,0.0
"(729, 0)","(729, 0)","(729, 1770)","(729, 1770)",1783,1782.0,0.0
"(789, 0)","(789, 0)","(776, 1770)","(776, 1770)",1784,1783.0,0.0
"(849, 0)","(849, 0)","(837, 1770)","(837, 1770)",1783,1782.0,0.0
"(909, 0)","(909, 0)","(909, 1770)","(909, 1770)",1771,1770.0,0.0
"(969, 0)","(969, 0)","(969, 1770)","(969, 1770)",1771,1770.0,0.0
"(1029, 0)","(1029, 0)","(1029, 1770)","(1029, 1770)",1773,1772.0,0.0
"(1089, 0)","(1089, 0)","(1089, 1770)","(1089, 1770)",1771,1770.0,0.0
"(1149, 0)","(1149, 0)","(1149, 1770)","(1149, 1770)",1771,1770.0,0.0
"(1209, 0)","(1209, 0)","(1209, 1770)","(1209, 1770)",1771,1770.0,0.0
"(1269, 0)","(1269, 0)","(1269, 1770)","(1269, 1770)",1771,1770.0,0.0
"(1329, 0)","(1329, 0)","(1313, 1770)","(1313, 1770)",1787,1786.0,0.0
"(1389, 0)","(1389, 0)","(1389, 1770)","(1389, 1770)",1771,1770.0,0.0
"(1449, 0)","(1449, 0)","(1449, 1770)","(1449, 1770)",1771,1770.0,0.0
"(1509, 0)","(1509, 0)","(1516, 1770)","(1516, 1770)",1778,1777.0,0.0
"(1569, 0)","(1569, 0)","(1575, 1770)","(1575, 1770)",1777,1776.0,0.0
"(1629, 0)","(1629, 0)","(1629, 1770)","(1629, 1770)",1771,1770.0,0.0
"(1689, 0)","(1689, 0)","(1689, 1770)","(1689, 1770)",1771,1770.0,0.0
"(1749, 0)","(1749, 0)","(1749, 1770)","(1749, 1770)",1771,1770.0,0.0
"(1809, 0)","(1809, 0)","(1809, 1770)","(1809, 1770)",1797,1796.0,0.0
"(1869, 0)","(1869, 0)","(1869, 1770)","(1869, 1770)",1771,1770.0,0.0
"(1929, 0)","(1929, 0)","(1929, 1770)","(1929, 1770)",1771,1770.0,0.0
"(1989, 0)","(1989, 0)","(1989, 1770)","(1989, 1770)",1771,1770.0,0.0
"(2049, 0)","(2049, 0)","(2049, 1770)","(2049, 1770)",1771,1770.0,0.0
"(2109, 0)","(2109, 0)","(2109, 1770)","(2109, 1770)",1771,1770.0,0.0
"(2169, 0)","(2169, 0)","(2170, 1770)","(2170, 1770)",1772,1771.0,0.0
"(2229, 0)","(2229, 0)","(2229, 1770)","(2229, 1770)",1771,1770.0,0.0
"(2289, 0)","(2289, 0)","(2289, 1770)","(2289, 1770)",1771,1770.0,0.0
"(2349, 0)","(2349, 0)","(2349, 1770)","(2349, 1770)",1771,1770.0,0.0
"(2409, 0)","(2409, 0)","(2409, 1770)","(2409, 1770)",1771,1770.0,0.0
"(2448, 0)","(2448, 0)","(2448, 1770)","(2448, 1770)",1825,1824.0,2.382136948094777
"(25, 0)","(25, 0)","(15, 1770)","(15, 1770)",1781,1780.0,0.0
"(85, 0)","(85, 0)","(85, 1770)","(85, 1770)",1801,1800.0,0.0
"(145, 0)","(145, 0)","(145, 1770)","(145, 1770)",1991,1990.0,4.635660332040118
"(205, 0)","(205, 0)","(205, 1770)","(205, 1770)",1917,1916.0,3.8000182482531515
"(222, 0)","(222, 0)","(222, 1770)","(222, 1770)",2031,2030.0,2.0088626292466767
"(289, 0)","(289, 0)","(289, 1770)","(289, 1770)",1891,1890.0,0.0
"(361, 0)","(361, 0)","(361, 1770)","(361, 1770)",1953,1952.0,1.858424523998276
"(410, 0)","(410, 0)","(410, 1770)","(410, 1770)",1805,1804.0,2.5566758230171396
"(492, 0)","(492, 0)","(492, 1770)","(492, 1770)",1835,1834.0,0.0
"(549, 0)","(549, 0)","(555, 1770)","(555, 1770)",1859,1858.0,9.790151777036199
"(609, 0)","(609, 0)","(616, 1770)","(616, 1770)",1814,1813.0,0.0
"(669, 0)","(669, 0)","(669, 1770)","(669, 1770)",1771,1770.0,0.0
"(729, 0)","(729, 0)","(729, 1770)","(729, 1770)",1783,1782.0,0.0
"(789, 0)","(789, 0)","(776, 1770)","(776, 1770)",1784,1783.0,0.0
"(849, 0)","(849, 0)","(837, 1770)","(837, 1770)",1783,1782.0,0.0
"(909, 0)","(909, 0)","(909, 1770)","(909, 1770)",1771,1770.0,0.0
"(969, 0)","(969, 0)","(969, 1770)","(969, 1770)",1771,1770.0,0.0
"(1029, 0)","(1029, 0)","(1029, 1770)","(1029, 1770)",1773,1772.0,0.0
"(1089, 0)","(1089, 0)","(1089, 1770)","(1089, 1770)",1771,1770.0,0.0
"(1149, 0)","(1149, 0)","(1149, 1770)","(1149, 1770)",1771,1770.0,0.0
"(1209, 0)","(1209, 0)","(1209, 1770)","(1209, 1770)",1771,1770.0,0.0
"(1269, 0)","(1269, 0)","(1269, 1770)","(1269, 1770)",1771,1770.0,0.0
"(1329, 0)","(1329, 0)","(1313, 1770)","(1313, 1770)",1787,1786.0,0.0
"(1389, 0)","(1389, 0)","(1389, 1770)","(1389, 1770)",1771,1770.0,0.0
"(1449, 0)","(1449, 0)","(1449, 1770)","(1449, 1770)",1771,1770.0,0.0
"(1509, 0)","(1509, 0)","(1516, 1770)","(1516, 1770)",1778,1777.0,0.0
"(1569, 0)","(1569, 0)","(1575, 1770)","(1575, 1770)",1777,1776.0,0.0
"(1629, 0)","(1629, 0)","(1629, 1770)","(1629, 1770)",1771,1770.0,0.0
"(1689, 0)","(1689, 0)","(1689, 1770)","(1689, 1770)",1771,1770.0,0.0
"(1749, 0)","(1749, 0)","(1749, 1770)","(1749, 1770)",1771,1770.0,0.0
"(1809, 0)","(1809, 0)","(1809, 1770)","(1809, 1770)",1797,1796.0,0.0
"(1869, 0)","(1869, 0)","(1869, 1770)","(1869, 1770)",1771,1770.0,0.0
"(1929, 0)","(1929, 0)","(1929, 1770)","(1929, 1770)",1771,1770.0,0.0
"(1989, 0)","(1989, 0)","(1989, 1770)","(1989, 1770)",1771,1770.0,0.0
"(2049, 0)","(2049, 0)","(2049, 1770)","(2049, 1770)",1771,1770.0,0.0
"(2109, 0)","(2109, 0)","(2109, 1770)","(2109, 1770)",1771,1770.0,0.0
"(2169, 0)","(2169, 0)","(2170, 1770)","(2170, 1770)",1772,1771.0,0.0
"(2229, 0)","(2229, 0)","(2229, 1770)","(2229, 1770)",1771,1770.0,0.0
"(2289, 0)","(2289, 0)","(2289, 1770)","(2289, 1770)",1771,1770.0,0.0
"(2349, 0)","(2349, 0)","(2349, 1770)","(2349, 1770)",1771,1770.0,0.0
"(2409, 0)","(2409, 0)","(2409, 1770)","(2409, 1770)",1771,1770.0,0.0
"(2448, 0)","(2448, 0)","(2448, 1770)","(2448, 1770)",1825,1824.0,2.382136948094777
"(25, 0)","(25, 0)","(15, 1770)","(15, 1770)",1781,1780.0,0.0
"(85, 0)","(85, 0)","(85, 1770)","(85, 1770)",1801,1800.0,0.0
"(145, 0)","(145, 0)","(145, 1770)","(145, 1770)",1991,1990.0,4.635660332040118
"(205, 0)","(205, 0)","(205, 1770)","(205, 1770)",1917,1916.0,3.8000182482531515
"(222, 0)","(222, 0)","(222, 1770)","(222, 1770)",2031,2030.0,2.0088626292466767
"(289, 0)","(289, 0)","(289, 1770)","(289, 1770)",1891,1890.0,0.0
"(361, 0)","(361, 0)","(361, 1770)","(361, 1770)",1953,1952.0,1.858424523998276
"(410, 0)","(410, 0)","(410, 1770)","(410, 1770)",1805,1804.0,2.5566758230171396
"(492, 0)","(492, 0)","(492, 1770)","(492, 1770)",1835,1834.0,0.0
"(549, 0)","(549, 0)","(555, 1770)","(555, 1770)",1859,1858.0,9.790151777036199
"(609, 0)","(609, 0)","(616, 1770)","(616, 1770)",1814,1813.0,0.0
"(669, 0)","(669, 0)","(669, 1770)","(669, 1770)",1771,1770.0,0.0
"(729, 0)","(729, 0)","(729, 1770)","(729, 1770)",1783,1782.0,0.0
"(789, 0)","(789, 0)","(776, 1770)","(776, 1770)",1784,1783.0,0.0
"(849, 0)","(849, 0)","(837, 1770)","(837, 1770)",1783,1782.0,0.0
"(909, 0)","(909, 0)","(909, 1770)","(909, 1770)",1771,1770.0,0.0
"(969, 0)","(969, 0)","(969, 1770)","(969, 1770)",1771,1770.0,0.0
"(1029, 0)","(1029, 0)","(1029, 1770)","(1029, 1770)",1773,1772.0,0.0
"(1089, 0)","(1089, 0)","(1089, 1770)","(1089, 1770)",1771,1770.0,0.0
"(1149, 0)","(1149, 0)","(1149, 1770)","(1149, 1770)",1771,1770.0,0.0
"(1209, 0)","(1209, 0)","(1209, 1770)","(1209, 1770)",1771,1770.0,0.0
"(1269, 0)","(1269, 0)","(1269, 1770)","(1269, 1770)",1771,1770.0,0.0
"(1329, 0)","(1329, 0)","(1313, 1770)","(1313, 1770)",1787,1786.0,0.0
"(1389, 0)","(1389, 0)","(1389, 1770)","(1389, 1770)",1771,1770.0,0.0
"(1449, 0)","(1449, 0)","(1449, 1770)","(1449, 1770)",1771,1770.0,0.0
"(1509, 0)","(1509, 0)","(1516, 1770)","(1516, 1770)",1778,1777.0,0.0
"(1569, 0)","(1569, 0)","(1575, 1770)","(1575, 1770)",1777,1776.0,0.0
"(1629, 0)","(1629, 0)","(1629, 1770)","(1629, 1770)",1771,1770.0,0.0
"(1689, 0)","(1689, 0)","(1689, 1770)","(1689, 1770)",1771,1770.0,0.0
"(1749, 0)","(1749, 0)","(1749, 1770)","(1749, 1770)",1771,1770.0,0.0
"(1809, 0)","(1809, 0)","(1809, 1770)","(1809, 1770)",1797,1796.0,0.0
"(1869, 0)","(1869, 0)","(1869, 1770)","(1869, 1770)",1771,1770.0,0.0
"(1929, 0)","(1929, 0)","(1929, 1770)","(1929, 1770)",1771,1770.0,0.0
"(1989, 0)","(1989, 0)","(1989, 1770)","(1989, 1770)",1771,1770.0,0.0
"(2049, 0)","(2049, 0)","(2049, 1770)","(2049, 1770)",1771,1770.0,0.0
"(2109, 0)","(2109, 0)","(2109, 1770)","(2109, 1770)",1771,1770.0,0.0
"(2169, 0)","(2169, 0)","(2170, 1770)","(2170, 1770)",1772,1771.0,0.0
"(2229, 0)","(2229, 0)","(2229, 1770)","(2229, 1770)",1771,1770.0,0.0
"(2289, 0)","(2289, 0)","(2289, 1770)","(2289, 1770)",1771,1770.0,0.0
"(2349, 0)","(2349, 0)","(2349, 1770)","(2349, 1770)",1771,1770.0,0.0
"(2409, 0)","(2409, 0)","(2409, 1770)","(2409, 1770)",1771,1770.0,0.0
"(2448, 0)","(2448, 0)","(2448, 1770)","(2448, 1770)",1825,1824.0,2.382136948094777
"(25, 0)","(25, 0)","(15, 1770)","(15, 1770)",1781,1780.0,0.0
"(85, 0)","(85, 0)","(85, 1770)","(85, 1770)",1801,1800.0,0.0
"(145, 0)","(145, 0)","(145, 1770)","(145, 1770)",1991,1990.0,4.635660332040118
"(205, 0)","(205, 0)","(205, 1770)","(205, 1770)",1917,1916.0,3.8000182482531515
"(222, 0)","(222, 0)","(222, 1770)","(222, 1770)",2031,2030.0,2.0088626292466767
"(289, 0)","(289, 0)","(289, 1770)","(289, 1770)",1891,1890.0,0.0
"(361, 0)","(361, 0)","(361, 1770)","(361, 1770)",1953,1952.0,1.858424523998276
"(410, 0)","(410, 0)","(410, 1770)","(410, 1770)",1805,1804.0,2.5566758230171396
"(492, 0)","(492, 0)","(492, 1770)","(492, 1770)",1835,1834.0,0.0
"(549, 0)","(549, 0)","(555, 1770)","(555, 1770)",1859,1858.0,9.790151777036199
"(609, 0)","(609, 0)","(616, 1770)","(616, 1770)",1814,1813.0,0.0
"(669, 0)","(669, 0)","(669, 1770)","(669, 1770)",1771,1770.0,0.0
"(729, 0)","(729, 0)","(729, 1770)","(729, 1770)",1783,1782.0,0.0
"(789, 0)","(789, 0)","(776, 1770)","(776, 1770)",1784,1783.0,0.0
"(849, 0)","(849, 0)","(837, 1770)","(837, 1770)",1783,1782.0,0.0
"(909, 0)","(909, 0)","(909, 1770)","(909, 1770)",1771,1770.0,0.0
"(969, 0)","(969, 0)","(969, 1770)","(969, 1770)",1771,1770.0,0.0
"(1029, 0)","(1029, 0)","(1029, 1770)","(1029, 1770)",1773,1772.0,0.0
"(1089, 0)","(1089, 0)","(1089, 1770)","(1089, 1770)",1771,1770.0,0.0
"(1149, 0)","(1149, 0)","(1149, 1770)","(1149, 1770)",1771,1770.0,0.0
"(1209, 0)","(1209, 0)","(1209, 1770)","(1209, 1770)",1771,1770.0,0.0
"(1269, 0)","(1269, 0)","(1269, 1770)","(1269, 1770)",1771,1770.0,0.0
"(1329, 0)","(1329, 0)","(1313, 1770)","(1313, 1770)",1787,1786.0,0.0
"(1389, 0)","(1389, 0)","(1389, 1770)","(1389, 1770)",1771,1770.0,0.0
"(1449, 0)","(1449, 0)","(1449, 1770)","(1449, 1770)",1771,1770.0,0.0
"(1509, 0)","(1509, 0)","(1516, 1770)","(1516, 1770)",1778,1777.0,0.0
"(1569, 0)","(1569, 0)","(1575, 1770)","(1575, 1770)",1777,1776.0,0.0
"(1629, 0)","(1629, 0)","(1629, 1770)","(1629, 1770)",1771,1770.0,0.0
"(1689, 0)","(1689, 0)","(1689, 1770)","(1689, 1770)",1771,1770.0,0.0
"(1749, 0)","(1749, 0)","(1749, 1770)","(1749, 1770)",1771,1770.0,0.0
"(1809, 0)","(1809, 0)","(1809, 1770)","(1809, 1770)",1797,1796.0,0.0
"(1869, 0)","(1869, 0)","(1869, 1770)","(1869, 1770)",1771,1770.0,0.0
"(1929, 0)","(1929, 0)","(1929, 1770)","(1929, 1770)",1771,1770.0,0.0
"(1989, 0)","(1989, 0)","(1989, 1770)","(1989, 1770)",1771,1770.0,0.0
"(2049, 0)","(2049, 0)","(2049, 1770)","(2049, 1770)",1771,1770.0,0.0
"(2109, 0)","(2109, 0)","(2109, 1770)","(2109, 1770)",1771,1770.0,0.0
"(2169, 0)","(2169, 0)","(2170, 1770)","(2170, 1770)",1772,1771.0,0.0
"(2229, 0)","(2229, 0)","(2229, 1770)","(2229, 1770)",1771,1770.0,0.0
"(2289, 0)","(2289, 0)","(2289, 1770)","(2289, 1770)",1771,1770.0,0.0
"(2349, 0)","(2349, 0)","(2349, 1770)","(2349, 1770)",1771,1770.0,0.0
"(2409, 0)","(2409, 0)","(2409, 1770)","(2409, 1770)",1771,1770.0,0.0
"(2448, 0)","(2448, 0)","(2448, 1770)","(2448, 1770)",1825,1824.0,2.382136948094777
"(25, 0)","(25, 0)","(15, 1770)","(15, 1770)",1781,1780.0,0.0
"(85, 0)","(85, 0)","(85, 1770)","(85, 1770)",1801,1800.0,0.0
"(145, 0)","(145, 0)","(145, 1770)","(145, 1770)",1991,1990.0,4.635660332040118
"(205, 0)","(205, 0)","(205, 1770)","(205, 1770)",1917,1916.0,3.8000182482531515
"(222, 0)","(222, 0)","(222, 1770)","(222, 1770)",2031,2030.0,2.0088626292466767
"(289, 0)","(289, 0)","(289, 1770)","(289, 1770)",1891,1890.0,0.0
"(361, 0)","(361, 0)","(361, 1770)","(361, 1770)",1953,1952.0,1.858424523998276
"(410, 0)","(410, 0)","(410, 1770)","(410, 1770)",1805,1804.0,2.5566758230171396
"(492, 0)","(492, 0)","(492, 1770)","(492, 1770)",1835,1834.0,0.0
"(549, 0)","(549, 0)","(555, 1770)","(555, 1770)",1859,1858.0,9.790151777036199
"(609, 0)","(609, 0)","(616, 1770)","(616, 1770)",1814,1813.0,0.0
"(669, 0)","(669, 0)","(669, 1770)","(669, 1770)",1771,1770.0,0.0
"(729, 0)","(729, 0)","(729, 1770)","(729, 1770)",1783,1782.0,0.0
"(789, 0)","(789, 0)","(776, 1770)","(776, 1770)",1784,1783.0,0.0
"(849, 0)","(849, 0)","(837, 1770)","(837, 1770)",1783,1782.0,0.0
"(909, 0)","(909, 0)","(909, 1770)","(909, 1770)",1771,1770.0,0.0
"(969, 0)","(969, 0)","(969, 1770)","(969, 1770)",1771,1770.0,0.0
"(1029, 0)","(1029, 0)","(1029, 1770)","(1029, 1770)",1773,1772.0,0.0
"(1089, 0)","(1089, 0)","(1089, 1770)","(1089, 1770)",1771,1770.0,0.0
"(1149, 0)","(1149, 0)","(1149, 1770)","(1149, 1770)",1771,1770.0,0.0
"(1209, 0)","(1209, 0)","(1209, 1770)","(1209, 1770)",1771,1770.0,0.0
"(1269, 0)","(1269, 0)","(1269, 1770)","(1269, 1770)",1771,1770.0,0.0
"(1329, 0)","(1329, 0)","(1313, 1770)","(1313, 1770)",1787,1786.0,0.0
"(1389, 0)","(1389, 0)","(1389, 1770)","(1389, 1770)",1771,1770.0,0.0
"(1449, 0)","(1449, 0)","(1449, 1770)","(1449, 1770)",1771,1770.0,0.0
"(1509, 0)","(1509, 0)","(1516, 1770)","(1516, 1770)",1778,1777.0,0.0
"(1569, 0)","(1569, 0)","(1575, 1770)","(1575, 1770)",1777,1776.0,0.0
